delta,repeat,jaccard,n_open_dcs,objective
0.05,0,0.946996,276,458718.72
0.05,1,0.978417,275,457799.42
0.05,2,0.947183,278,458939.6
0.05,3,0.939929,274,457890.21
0.05,4,0.896194,273,456517.29
0.05,5,0.95,271,455936.11
0.05,6,0.953571,272,457430.76
0.05,7,0.883162,273,458841.29
0.05,8,0.913495,278,459674.86
0.05,9,0.953571,272,457416.85
0.05,10,0.964286,275,457693.55
0.05,11,0.925795,270,456017.02
0.05,12,0.898955,270,456320.15
0.05,13,0.926316,274,457497.45
0.05,14,0.933099,274,455925.82
0.05,15,0.913495,278,458828.9
0.05,16,0.929577,273,456162.26
0.05,17,0.964158,273,458301.53
0.05,18,0.890411,277,461135.42
0.05,19,0.909408,273,459581.94
0.05,20,0.899654,274,458297.26
0.05,21,0.957447,277,457804.88
0.05,22,0.893103,274,458959.11
0.05,23,0.950355,275,458610.25
0.05,24,0.909722,275,457932.53
0.05,25,0.946809,274,458658.72
0.05,26,0.929825,275,459056.59
0.05,27,0.939929,274,456690.68
0.05,28,0.943262,273,458872.5
0.05,29,0.896552,275,459585.68
0.1,0,0.909722,275,459041.54
0.1,1,0.909091,271,456294.6
0.1,2,0.874576,278,457890.92
0.1,3,0.893471,276,458013.66
0.1,4,0.933099,274,457705.75
0.1,5,0.883959,277,458980.99
0.1,6,0.889655,273,457587.08
0.1,7,0.861017,274,458087.61
0.1,8,0.852349,277,462144.45
0.1,9,0.848485,274,458342.27
0.1,10,0.913495,278,458907.09
0.1,11,0.883959,277,456836.0
0.1,12,0.905594,270,456002.75
0.1,13,0.877551,277,460001.45
0.1,14,0.905923,272,458990.76
0.1,15,0.870307,273,460207.93
0.1,16,0.912587,272,457690.66
0.1,17,0.90625,274,456392.92
0.1,18,0.899654,274,457669.45
0.1,19,0.916084,273,457106.01
0.1,20,0.885813,270,459868.83
0.1,21,0.884746,281,460792.52
0.1,22,0.929825,275,457096.09
0.1,23,0.845638,275,459868.37
0.1,24,0.893103,274,457669.38
0.1,25,0.902778,273,456442.57
0.1,26,0.892734,272,458063.25
0.1,27,0.889655,273,461617.81
0.1,28,0.902439,271,456404.69
0.1,29,0.853741,270,458124.73
0.2,0,0.886598,274,458075.7
0.2,1,0.861953,278,456530.32
0.2,2,0.842282,274,455286.18
0.2,3,0.794118,274,457738.94
0.2,4,0.85034,269,457809.72
0.2,5,0.826667,273,455833.44
0.2,6,0.843854,280,460445.0
0.2,7,0.817881,274,458186.4
0.2,8,0.848485,274,457794.82
0.2,9,0.887755,280,455046.14
0.2,10,0.830565,276,456642.47
0.2,11,0.824503,276,458710.48
0.2,12,0.8125,276,458751.72
0.2,13,0.841751,272,459460.56
0.2,14,0.833887,277,456744.28
0.2,15,0.838926,273,456991.77
0.2,16,0.833333,275,456165.97
0.2,17,0.880546,276,458905.56
0.2,18,0.840532,279,459809.19
0.2,19,0.854237,272,457775.53
0.2,20,0.838284,282,459482.34
0.2,21,0.865772,281,459275.32
0.2,22,0.873288,272,456310.74
0.2,23,0.818482,276,459652.76
0.2,24,0.861017,274,460376.22
0.2,25,0.845638,275,459580.45
0.2,26,0.788961,276,458001.37
0.2,27,0.821782,277,458641.81
0.2,28,0.802632,273,457926.28
0.2,29,0.82392,274,458139.92
0.3,0,0.777419,276,452992.36
0.3,1,0.813725,280,456412.65
0.3,2,0.80719,278,458858.01
0.3,3,0.796721,273,456436.85
0.3,4,0.75,271,455915.95
0.3,5,0.788961,276,457921.41
0.3,6,0.796117,280,461803.2
0.3,7,0.762821,275,457514.73
0.3,8,0.821192,275,455948.98
0.3,9,0.790997,282,457314.16
0.3,10,0.807818,280,456816.61
0.3,11,0.764331,279,456599.52
0.3,12,0.794788,276,455616.9
0.3,13,0.849498,278,461156.69
0.3,14,0.766234,269,457229.71
0.3,15,0.75,278,458817.12
0.3,16,0.757862,284,459836.68
0.3,17,0.779935,275,459774.04
0.3,18,0.788961,276,454480.21
0.3,19,0.773463,273,456033.71
0.3,20,0.788961,276,453388.09
0.3,21,0.704969,274,461101.91
0.3,22,0.816393,279,461139.76
0.3,23,0.760383,276,456699.45
0.3,24,0.751592,275,456654.38
0.3,25,0.769231,277,458992.56
0.3,26,0.772727,271,459608.5
0.3,27,0.752351,284,460450.7
0.3,28,0.83557,272,456098.47
0.3,29,0.75,278,459110.89
